Year,Country name,Country iso,Occurrence,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 $)
1982,Madagascar,MDG,1,92,0,0,70000,70000,250000
1982,Mauritius,MUS,2,0,32500,0,0,32500,973
1982,Mexico,MEX,1,225,50000,0,0,50000,82400
1982,Myanmar,MMR,1,11,36000,0,0,36000,0
1982,Nicaragua,NIC,1,71,52000,0,0,52000,356000
1982,Philippines,PHL,9,563,690172,360,329083,1019615,118605
1982,Solomon Is,SLB,1,0,30000,0,0,30000,0
1982,Tonga,TON,1,6,100000,12,46500,146512,21200
1982,United States,USA,1,3,0,0,500,500,230000
1982,Viet Nam,VNM,1,70,1300000,290,0,1300290,0
1983,Bangladesh,BGD,3,673,5000,150,0,5150,0
1983,China P Rep,CHN,2,112,10000,200,0,10200,0
1983,Comoros,COM,1,33,30000,52,0,30052,23000
1983,Fiji,FJI,2,9,211132,14,0,211146,50851
1983,French Polynesia,PYF,2,7,5000,50,0,5050,37000
1983,Hong Kong (China),HKG,2,22,0,396,2166,2562,12544
1983,India,IND,3,727,1506000,1500,14000,1521500,566000
1983,Japan,JPN,1,44,0,78,0,78,0
1983,Madagascar,MDG,1,42,13560,0,0,13560,25000
1983,Mauritius,MUS,1,1,350,1,0,351,0
1983,Mexico,MEX,1,135,0,0,25000,25000,0
1983,Philippines,PHL,3,126,140542,28,29860,170430,4320
1983,Taiwan (China),TWN,1,82,0,0,0,0,0
1983,United States,USA,1,21,0,0,0,0,3000000
1983,Viet Nam,VNM,2,658,580000,508,601360,1181868,0
1984,Anguilla,AIA,1,0,0,0,0,0,2115
1984,Cape Verde Is,CPV,1,29,5500,0,0,5500,0
1984,China P Rep,CHN,3,13,0,0,0,0,0
1984,Dominica,DMA,1,2,10000,0,0,10000,2000
1984,France,FRA,1,0,0,0,0,0,0
1984,India,IND,3,524,1335000,0,0,1335000,35000
1984,Madagascar,MDG,1,68,100000,215,0,100215,250000
1984,Mauritius,MUS,1,0,0,0,0,0,0
1984,Mexico,MEX,1,4,10000,0,0,10000,0
1984,Mozambique,MOZ,1,109,350000,0,0,350000,75000
1984,Philippines,PHL,4,2679,3210815,2865,1321526,4535206,336490
1984,Reunion,REU,1,0,0,0,0,0,0
1984,South Africa,ZAF,1,64,500000,0,0,500000,92000
1984,Spain,ESP,1,6,60000,30,0,60030,1000000
1984,St Kitts and Nevis,KNA,1,0,0,0,0,0,0
1984,Swaziland,SWZ,1,53,632000,0,500,632500,54152
1984,Viet Nam,VNM,2,155,650416,383,1000,651799,0
1985,Bangladesh,BGD,1,15000,1300000,0,510000,1810000,50000
1985,China P Rep,CHN,1,177,100000,1400,0,101400,0
1985,Comoros,COM,1,2,35000,0,0,35000,5568
1985,Cuba,CUB,1,4,476891,0,22000,498891,0
1985,Fiji,FJI,3,32,122000,0,0,122000,76000
1985,Hong Kong (China),HKG,1,2,600,12,0,612,42
1985,India,IND,1,78,5000,0,0,5000,0
1985,Jamaica,JAM,1,7,0,0,300,300,5200
1985,Japan,JPN,2,49,30000,200,0,30200,99500
1985,Korea Rep,KOR,1,57,0,20,0,20,14000
1985,Mauritius,MUS,1,0,0,0,0,0,0
1985,Philippines,PHL,3,186,1603687,31,256,1603974,83033
1985,Solomon Is,SLB,1,0,650,0,0,650,0
1985,Turks and Caicos Is,TCA,1,0,770,0,0,770,5
1985,United States,USA,4,32,1000000,0,0,1000000,3500000
1985,Vanuatu,VUT,1,9,117500,0,0,117500,173000
1985,Viet Nam,VNM,1,798,225000,257,225000,450257,0
1986,Australia,AUS,1,3,0,12,1000,1012,70000
1986,Bangladesh,BGD,2,65,2600000,100,100000,2700100,0
1986,China P Rep,CHN,3,223,4000000,1656,2500,4004156,1374000
1986,Fiji,FJI,1,1,3000,0,0,3000,20000
1986,Hong Kong (China),HKG,2,5,0,41,0,41,0
1986,India,IND,2,24,3100000,100,200000,3300100,272943
1986,Ireland,IRL,1,11,0,0,0,0,0
1986,Japan,JPN,1,17,2000,64,0,2064,2200000
1986,Korea Rep,KOR,1,33,6623,73,0,6696,10900
1986,Madagascar,MDG,1,99,83885,424,0,84309,150000
1986,Philippines,PHL,6,176,1235949,154,6633,1242736,86460
1986,Solomon Is,SLB,1,101,90000,0,60000,150000,20000
1986,St Lucia,LCA,1,0,0,0,0,0,0
1986,Taiwan (China),TWN,2,65,0,0,0,0,485000
1986,Viet Nam,VNM,1,435,2500000,2502,0,2502502,0
1986,Wallis and Futuna Is,WLF,1,1,4500,0,0,4500,0
1987,Bangladesh,BGD,1,12,0,0,0,0,0
1987,Barbados,BRB,1,0,0,0,230,230,100000
1987,Bermuda,BMU,1,0,0,40,0,40,50000
1987,China P Rep,CHN,3,274,900000,86,25400,925486,120000
1987,Comoros,COM,1,24,0,0,50000,50000,9000
1987,Cook Is,COK,1,5,2000,0,0,2000,25000
1987,Dominican Rep,DOM,1,3,0,0,0,0,23700
1987,Guam,GUM,1,0,0,0,502,502,145
1987,Guinea Bissau,GNB,1,1,0,3,3700,3703,0
1987,India,IND,2,63,80000,0,0,80000,0
1987,Japan,JPN,1,8,65000,10,0,65010,0
1987,Korea Rep,KOR,2,619,56000,0,0,56000,525000
1987,Micronesia Fed States,FSM,1,5,0,3,200,203,6000
1987,Philippines,PHL,5,1094,2911027,1466,325139,3237632,193700
1987,Reunion,REU,1,10,4000,0,0,4000,2000
1987,St Lucia,LCA,1,0,0,0,0,0,0
1987,St Vincent and the Grenad,VCT,1,0,0,8,200,208,5300
1987,Taiwan (China),TWN,1,61,2200,0,0,2200,0
1987,Tuvalu,TUV,1,0,0,0,0,0,0
1987,United States,USA,1,0,0,0,0,0,0
1987,Vanuatu,VUT,1,48,48000,0,0,48000,25000
1987,Viet Nam,VNM,1,101,584800,211,352000,937011,0
1988,Australia,AUS,1,1,0,0,0,0,20417
1988,Bangladesh,BGD,2,1031,8568860,0,2000000,10568860,0
1988,China P Rep,CHN,2,200,186000,1232,0,187232,0
1988,Colombia,COL,1,26,100000,0,0,100000,50000
1988,Costa Rica,CRI,1,28,120000,7500,0,127500,60000
1988,Cuba,CUB,1,0,60000,0,0,60000,0
1988,Haiti,HTI,1,54,870000,0,0,870000,91286
1988,Honduras,HND,1,0,0,12,0,12,0
1988,Hong Kong (China),HKG,1,0,100,4,0,104,0
1988,India,IND,1,74,1900000,0,0,1900000,13000
1988,Jamaica,JAM,1,49,810000,0,0,810000,1000000
1988,Mexico,MEX,2,288,100000,0,25000,125000,76000
1988,Mozambique,MOZ,1,100,4000,0,0,4000,0
1988,New Zealand,NZL,1,6,0,0,0,0,0
1988,Nicaragua,NIC,1,130,300000,278,60000,360278,400000
1988,Panama,PAN,1,30,6732,0,2000,8732,60000
1988,Philippines,PHL,5,788,4430946,238,66321,4497505,403016
1988,St Lucia,LCA,1,45,0,0,0,0,1000000
1988,United States,USA,1,0,0,0,0,0,0
1988,Vanuatu,VUT,2,0,3100,0,3600,6700,0
1988,Venezuela,VEN,1,11,0,0,0,0,0
1988,Viet Nam,VNM,2,157,1320000,0,0,1320000,0
1989,American Samoa,ASM,1,0,0,0,0,0,5000
1989,Antigua and Barbuda,ATG,1,2,7500,0,530,8030,80000
1989,Australia,AUS,2,4,0,0,0,0,107911
1989,Bangladesh,BGD,1,15,0,2000,0,2000,0
1989,Bermuda,BMU,1,0,0,0,0,0,0
1989,Canada,CAN,1,0,0,0,0,0,0
1989,China P Rep,CHN,4,865,8000000,3444,0,8003444,485000
1989,Comoros,COM,1,0,0,0,0,0,5236
1989,Dominica,DMA,1,0,710,0,0,710,20000
1989,Dominican Rep,DOM,1,0,0,0,0,0,0
1989,Guadeloupe,GLP,1,5,0,84,11000,11084,50000
1989,Hong Kong (China),HKG,2,9,528,150,977,1655,67
1989,India,IND,2,93,3700000,0,0,3700000,0
1989,Japan,JPN,2,15,0,0,0,0,0
1989,Korea Rep,KOR,1,109,75145,49,0,75194,176500
1989,Madagascar,MDG,1,46,55346,0,0,55346,0
1989,Martinique,MTQ,1,0,0,0,0,0,0
1989,Mauritius,MUS,1,1,4000,507,0,4507,60000
1989,Montserrat,MSR,1,11,0,40,12000,12040,240000
1989,Netherlands Antilles,ANT,1,11,0,0,0,0,50000
1989,New Caledonia,NCL,1,2,0,0,0,0,0
1989,Philippines,PHL,7,378,1974519,982,161364,2136865,171085
1989,Puerto Rico,PRI,2,0,2000,0,0,2000,0
1989,Reunion,REU,1,10,6200,61,0,6261,50000
1989,Samoa,WSM,1,0,0,0,0,0,15500
1989,St Kitts and Nevis,KNA,1,1,0,0,1300,1300,46000
